"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_pouca_terra,670,0,1717,0.540"
"2,5022,agua_pouca_terra,659,0,1511,0.531"
"3,7522,agua_pouca_terra,682,0,1634,0.550"
"4,10022,agua_pouca_terra,693,0,1699,0.558"
"5,12522,agua_pouca_terra,690,0,1691,0.556"
"6,15022,agua_pouca_terra,665,0,1562,0.536"
"7,17522,agua_pouca_terra,631,0,1571,0.508"
"8,20022,agua_pouca_terra,606,0,1712,0.488"
"9,22522,agua_pouca_terra,612,0,1811,0.493"
"10,25022,agua_pouca_terra,638,0,1840,0.514"
"11,27522,agua_pouca_terra,644,0,1840,0.519"
"12,30022,agua_pouca_terra,649,0,1840,0.523"
"13,32522,agua_pouca_terra,658,0,1838,0.530"
"14,35022,agua_pouca_terra,677,0,1825,0.546"
"15,37522,agua_pouca_terra,684,0,1790,0.551"
"16,40022,agua_pouca_terra,687,0,1767,0.554"
"17,42522,agua_pouca_terra,686,0,1781,0.553"
"18,45022,agua_pouca_terra,683,0,1795,0.550"
"19,47522,agua_pouca_terra,686,0,1795,0.553"
"20,50022,agua_pouca_terra,685,0,1801,0.552"
"21,52522,agua_pouca_terra,683,0,1774,0.550"
"22,55022,agua_pouca_terra,685,0,1739,0.552"
"23,57522,agua_pouca_terra,688,0,1717,0.554"
"24,60022,agua_pouca_terra,685,0,1764,0.552"
"25,62522,agua_pouca_terra,650,0,1839,0.524"
"26,65022,agua_pouca_terra,631,0,1579,0.508"
"27,67522,agua_pouca_terra,683,0,1801,0.550"
"28,70022,agua_pouca_terra,604,0,1687,0.487"
"29,72522,agua_pouca_terra,682,0,1757,0.550"
"30,75022,agua_pouca_terra,601,0,1790,0.484"
"31,77522,agua_pouca_terra,651,0,1520,0.525"
"32,80022,agua_pouca_terra,680,0,1670,0.548"
"33,82522,agua_pouca_terra,677,0,1667,0.546"
"34,85022,agua_pouca_terra,656,0,1530,0.529"
"35,87522,agua_pouca_terra,606,0,1665,0.488"
"36,90022,agua_pouca_terra,651,0,1839,0.525"
"37,92522,agua_pouca_terra,684,0,1695,0.551"
"38,95022,agua_pouca_terra,602,0,1735,0.485"
"39,97522,agua_pouca_terra,681,0,1744,0.549"
"40,100022,agua_pouca_terra,597,0,1723,0.481"
"41,102522,agua_pouca_terra,680,0,1773,0.548"
"42,105022,agua_pouca_terra,600,0,1754,0.484"
"43,107522,agua_pouca_terra,679,0,1725,0.547"
"44,110022,agua_pouca_terra,619,0,1827,0.499"
"45,112522,agua_pouca_terra,660,0,1590,0.532"
"46,115022,agua_pouca_terra,643,0,1851,0.518"
"47,117522,agua_pouca_terra,679,0,1659,0.547"
"48,120022,agua_pouca_terra,611,0,1833,0.492"
"49,122522,agua_pouca_terra,690,0,1840,0.556"
"50,125022,agua_pouca_terra,691,0,1702,0.557"
"51,127522,agua_pouca_terra,691,0,1678,0.557"
"52,130022,agua_pouca_terra,696,0,1710,0.561"
"53,132522,agua_pouca_terra,697,0,1738,0.562"
"54,135022,agua_pouca_terra,686,0,1759,0.553"
"55,137522,agua_pouca_terra,679,0,1808,0.547"
"56,140022,agua_pouca_terra,660,0,1840,0.532"
"57,142522,agua_pouca_terra,631,0,1840,0.508"
"58,145022,agua_pouca_terra,599,0,1776,0.483"
"59,147522,agua_pouca_terra,606,0,1661,0.488"
"60,150022,agua_pouca_terra,627,0,1535,0.505"
"61,152522,agua_pouca_terra,644,0,1447,0.519"
"62,155022,agua_pouca_terra,643,0,1441,0.518"
"63,157522,agua_pouca_terra,644,0,1456,0.519"
"64,160022,agua_pouca_terra,650,0,1482,0.524"
"65,162522,agua_pouca_terra,661,0,1535,0.533"
"66,165022,agua_pouca_terra,675,0,1632,0.544"
"67,167522,agua_pouca_terra,684,0,1727,0.551"
"68,170022,agua_pouca_terra,680,0,1791,0.548"
"69,172522,agua_pouca_terra,652,0,1829,0.525"
"70,175022,agua_pouca_terra,623,0,1821,0.502"
"71,177522,agua_pouca_terra,600,0,1712,0.484"
"72,180022,agua_pouca_terra,610,0,1620,0.492"
"73,182522,agua_pouca_terra,611,0,1623,0.492"
"74,185022,agua_pouca_terra,599,0,1714,0.483"
"75,187522,agua_pouca_terra,601,0,1778,0.484"
"76,190022,agua_pouca_terra,596,0,1755,0.480"
"77,192522,agua_pouca_terra,605,0,1663,0.488"
"78,195022,agua_pouca_terra,633,0,1473,0.510"
"79,197522,agua_pouca_terra,671,0,1616,0.541"
"80,200022,agua_pouca_terra,682,0,1699,0.550"
"81,202522,agua_pouca_terra,681,0,1762,0.549"
"82,205022,agua_pouca_terra,679,0,1793,0.547"
"83,207522,agua_pouca_terra,666,0,1815,0.537"
"84,210022,agua_pouca_terra,667,0,1917,0.538"
"85,212522,agua_pouca_terra,652,0,1837,0.525"
"86,215022,agua_pouca_terra,641,0,1830,0.517"
"87,217522,agua_pouca_terra,639,0,1833,0.515"
"88,220022,agua_pouca_terra,642,0,1830,0.517"
"89,222522,agua_pouca_terra,663,0,1818,0.534"
"90,225022,agua_pouca_terra,679,0,1767,0.547"
"91,227522,agua_pouca_terra,672,0,1623,0.542"
"92,230022,agua_pouca_terra,642,0,1457,0.517"
"93,232522,agua_pouca_terra,632,0,1491,0.509"
"94,235022,agua_pouca_terra,641,0,1459,0.517"
"95,237522,agua_pouca_terra,671,0,1618,0.541"
"96,240022,agua_pouca_terra,719,0,1955,0.579"
