"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_media_terra,680,0,2134,0.548"
"2,5022,agua_media_terra,695,0,1981,0.560"
"3,7522,agua_media_terra,716,0,1835,0.577"
"4,10022,agua_media_terra,685,0,1611,0.552"
"5,12522,agua_media_terra,626,0,1718,0.504"
"6,15022,agua_media_terra,652,0,1871,0.525"
"7,17522,agua_media_terra,687,0,1878,0.554"
"8,20022,agua_media_terra,706,0,1847,0.569"
"9,22522,agua_media_terra,707,0,1779,0.570"
"10,25022,agua_media_terra,699,0,1692,0.563"
"11,27522,agua_media_terra,693,0,1673,0.558"
"12,30022,agua_media_terra,705,0,1751,0.568"
"13,32522,agua_media_terra,689,0,1869,0.555"
"14,35022,agua_media_terra,611,0,1712,0.492"
"15,37522,agua_media_terra,694,0,1699,0.559"
"16,40022,agua_media_terra,694,0,1865,0.559"
"17,42522,agua_media_terra,658,0,1887,0.530"
"18,45022,agua_media_terra,620,0,1806,0.500"
"19,47522,agua_media_terra,628,0,1680,0.506"
"20,50022,agua_media_terra,664,0,1501,0.535"
"21,52522,agua_media_terra,686,0,1603,0.553"
"22,55022,agua_media_terra,690,0,1621,0.556"
"23,57522,agua_media_terra,673,0,1535,0.542"
"24,60022,agua_media_terra,650,0,1584,0.524"
"25,62522,agua_media_terra,620,0,1696,0.500"
"26,65022,agua_media_terra,638,0,1861,0.514"
"27,67522,agua_media_terra,704,0,1833,0.567"
"28,70022,agua_media_terra,657,0,1524,0.529"
"29,72522,agua_media_terra,665,0,1883,0.536"
"30,75022,agua_media_terra,688,0,1680,0.554"
"31,77522,agua_media_terra,614,0,1790,0.495"
"32,80022,agua_media_terra,700,0,1855,0.564"
"33,82522,agua_media_terra,668,0,1535,0.538"
"34,85022,agua_media_terra,626,0,1836,0.504"
"35,87522,agua_media_terra,695,0,1855,0.560"
"36,90022,agua_media_terra,693,0,1674,0.558"
"37,92522,agua_media_terra,650,0,1570,0.524"
"38,95022,agua_media_terra,627,0,1680,0.505"
"39,97522,agua_media_terra,621,0,1670,0.500"
"40,100022,agua_media_terra,646,0,1535,0.521"
"41,102522,agua_media_terra,687,0,1633,0.554"
"42,105022,agua_media_terra,705,0,1791,0.568"
"43,107522,agua_media_terra,667,0,1870,0.538"
"44,110022,agua_media_terra,611,0,1762,0.492"
"45,112522,agua_media_terra,647,0,1533,0.521"
"46,115022,agua_media_terra,678,0,1600,0.546"
"47,117522,agua_media_terra,696,0,1733,0.561"
"48,120022,agua_media_terra,694,0,1841,0.559"
"49,122522,agua_media_terra,650,0,1872,0.524"
"50,125022,agua_media_terra,615,0,1744,0.496"
"51,127522,agua_media_terra,654,0,1505,0.527"
"52,130022,agua_media_terra,693,0,1698,0.558"
"53,132522,agua_media_terra,700,0,1834,0.564"
"54,135022,agua_media_terra,648,0,1872,0.522"
"55,137522,agua_media_terra,637,0,1637,0.513"
"56,140022,agua_media_terra,694,0,1700,0.559"
"57,142522,agua_media_terra,692,0,1840,0.558"
"58,145022,agua_media_terra,648,0,1862,0.522"
"59,147522,agua_media_terra,609,0,1743,0.491"
"60,150022,agua_media_terra,627,0,1599,0.505"
"61,152522,agua_media_terra,653,0,1467,0.526"
"62,155022,agua_media_terra,680,0,1602,0.548"
"63,157522,agua_media_terra,696,0,1690,0.561"
"64,160022,agua_media_terra,702,0,1744,0.566"
"65,162522,agua_media_terra,701,0,1836,0.565"
"66,165022,agua_media_terra,647,0,1876,0.521"
"67,167522,agua_media_terra,667,0,1535,0.538"
"68,170022,agua_media_terra,686,0,1877,0.553"
"69,172522,agua_media_terra,660,0,1527,0.532"
"70,175022,agua_media_terra,662,0,1877,0.533"
"71,177522,agua_media_terra,700,0,1766,0.564"
"72,180022,agua_media_terra,628,0,1691,0.506"
"73,182522,agua_media_terra,678,0,1879,0.546"
"74,185022,agua_media_terra,676,0,1618,0.545"
"75,187522,agua_media_terra,653,0,1874,0.526"
"76,190022,agua_media_terra,668,0,1570,0.538"
"77,192522,agua_media_terra,704,0,1807,0.567"
"78,195022,agua_media_terra,689,0,1849,0.555"
"79,197522,agua_media_terra,691,0,1834,0.557"
"80,200022,agua_media_terra,700,0,1757,0.564"
"81,202522,agua_media_terra,641,0,1578,0.517"
"82,205022,agua_media_terra,644,0,1867,0.519"
"83,207522,agua_media_terra,697,0,1840,0.562"
"84,210022,agua_media_terra,702,0,1727,0.566"
"85,212522,agua_media_terra,686,0,1615,0.553"
"86,215022,agua_media_terra,660,0,1486,0.532"
"87,217522,agua_media_terra,639,0,1607,0.515"
"88,220022,agua_media_terra,624,0,1697,0.503"
"89,222522,agua_media_terra,614,0,1743,0.495"
"90,225022,agua_media_terra,613,0,1744,0.494"
"91,227522,agua_media_terra,628,0,1664,0.506"
"92,230022,agua_media_terra,677,0,1613,0.546"
"93,232522,agua_media_terra,693,0,1850,0.558"
"94,235022,agua_media_terra,613,0,1788,0.494"
"95,237522,agua_media_terra,665,0,1535,0.536"
"96,240022,agua_media_terra,701,0,1756,0.565"
"97,242522,agua_media_terra,692,0,1843,0.558"
"98,245022,agua_media_terra,682,0,1859,0.550"
"99,247522,agua_media_terra,690,0,1841,0.556"
"100,250022,agua_media_terra,698,0,1788,0.562"
"101,252522,agua_media_terra,695,0,1695,0.560"
"102,255022,agua_media_terra,699,0,1703,0.563"
"103,257522,agua_media_terra,702,0,1791,0.566"
"104,260022,agua_media_terra,685,0,1867,0.552"
"105,262522,agua_media_terra,618,0,1803,0.498"
"106,265022,agua_media_terra,673,0,1595,0.542"
"107,267522,agua_media_terra,694,0,1856,0.559"
"108,270022,agua_media_terra,614,0,1773,0.495"
"109,272522,agua_media_terra,696,0,1702,0.561"
"110,275022,agua_media_terra,653,0,1870,0.526"
"111,277522,agua_media_terra,683,0,1667,0.550"
"112,280022,agua_media_terra,645,0,1870,0.520"
"113,282522,agua_media_terra,676,0,1600,0.545"
"114,285022,agua_media_terra,688,0,1853,0.554"
"115,287522,agua_media_terra,612,0,1795,0.493"
"116,290022,agua_media_terra,672,0,1584,0.542"
"117,292522,agua_media_terra,696,0,1843,0.561"
"118,295022,agua_media_terra,625,0,1712,0.504"
"119,297522,agua_media_terra,701,0,1806,0.565"
"120,300022,agua_media_terra,638,0,1871,0.514"
"121,302522,agua_media_terra,628,0,1661,0.506"
"122,305022,agua_media_terra,665,0,1527,0.536"
"123,307522,agua_media_terra,700,0,1847,0.564"
"124,310022,agua_media_terra,692,0,1650,0.558"
