"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_alta_terra,638,0,2559,0.514"
"2,5022,agua_alta_terra,684,0,1858,0.551"
"3,7522,agua_alta_terra,694,0,1737,0.559"
"4,10022,agua_alta_terra,648,0,1585,0.522"
"5,12522,agua_alta_terra,619,0,1840,0.499"
"6,15022,agua_alta_terra,675,0,1870,0.544"
"7,17522,agua_alta_terra,691,0,1838,0.557"
"8,20022,agua_alta_terra,693,0,1785,0.558"
"9,22522,agua_alta_terra,692,0,1715,0.558"
"10,25022,agua_alta_terra,676,0,1600,0.545"
"11,27522,agua_alta_terra,642,0,1561,0.517"
"12,30022,agua_alta_terra,609,0,1703,0.491"
"13,32522,agua_alta_terra,627,0,1853,0.505"
"14,35022,agua_alta_terra,686,0,1837,0.553"
"15,37522,agua_alta_terra,674,0,1613,0.543"
"16,40022,agua_alta_terra,608,0,1798,0.490"
"17,42522,agua_alta_terra,687,0,1837,0.554"
"18,45022,agua_alta_terra,686,0,1682,0.553"
"19,47522,agua_alta_terra,652,0,1477,0.525"
"20,50022,agua_alta_terra,636,0,1535,0.513"
"21,52522,agua_alta_terra,649,0,1477,0.523"
"22,55022,agua_alta_terra,685,0,1666,0.552"
"23,57522,agua_alta_terra,685,0,1826,0.552"
"24,60022,agua_alta_terra,623,0,1846,0.502"
"25,62522,agua_alta_terra,622,0,1631,0.501"
"26,65022,agua_alta_terra,662,0,1529,0.533"
"27,67522,agua_alta_terra,686,0,1691,0.553"
"28,70022,agua_alta_terra,689,0,1791,0.555"
"29,72522,agua_alta_terra,672,0,1857,0.542"
"30,75022,agua_alta_terra,617,0,1824,0.497"
"31,77522,agua_alta_terra,636,0,1535,0.513"
"32,80022,agua_alta_terra,680,0,1669,0.548"
"33,82522,agua_alta_terra,687,0,1808,0.554"
"34,85022,agua_alta_terra,657,0,1853,0.529"
"35,87522,agua_alta_terra,611,0,1802,0.492"
"36,90022,agua_alta_terra,617,0,1680,0.497"
"37,92522,agua_alta_terra,630,0,1569,0.508"
"38,95022,agua_alta_terra,643,0,1485,0.518"
"39,97522,agua_alta_terra,673,0,1600,0.542"
"40,100022,agua_alta_terra,689,0,1765,0.555"
"41,102522,agua_alta_terra,657,0,1851,0.529"
"42,105022,agua_alta_terra,617,0,1662,0.497"
"43,107522,agua_alta_terra,689,0,1767,0.555"
"44,110022,agua_alta_terra,596,0,1756,0.480"
"45,112522,agua_alta_terra,685,0,1712,0.552"
"46,115022,agua_alta_terra,648,0,1866,0.522"
"47,117522,agua_alta_terra,611,0,1625,0.492"
"48,120022,agua_alta_terra,672,0,1605,0.542"
"49,122522,agua_alta_terra,693,0,1741,0.558"
"50,125022,agua_alta_terra,691,0,1793,0.557"
"51,127522,agua_alta_terra,720,0,1906,0.580"
"52,130022,agua_alta_terra,755,0,1830,0.608"
"53,132522,agua_alta_terra,657,0,1887,0.529"
"54,135022,agua_alta_terra,756,0,1974,0.609"
"55,137522,agua_alta_terra,656,0,1930,0.529"
"56,140022,agua_alta_terra,681,0,1697,0.549"
"57,142522,agua_alta_terra,643,0,1835,0.518"
"58,145022,agua_alta_terra,661,0,1579,0.533"
"59,147522,agua_alta_terra,651,0,1857,0.525"
"60,150022,agua_alta_terra,678,0,1641,0.546"
"61,152522,agua_alta_terra,628,0,1845,0.506"
"62,155022,agua_alta_terra,687,0,1725,0.554"
"63,157522,agua_alta_terra,615,0,1670,0.496"
"64,160022,agua_alta_terra,655,0,1846,0.528"
"65,162522,agua_alta_terra,688,0,1716,0.554"
"66,165022,agua_alta_terra,631,0,1571,0.508"
"67,167522,agua_alta_terra,603,0,1731,0.486"
"68,170022,agua_alta_terra,602,0,1765,0.485"
"69,172522,agua_alta_terra,604,0,1740,0.487"
"70,175022,agua_alta_terra,614,0,1677,0.495"
"71,177522,agua_alta_terra,626,0,1616,0.504"
"72,180022,agua_alta_terra,656,0,1501,0.529"
"73,182522,agua_alta_terra,686,0,1663,0.553"
"74,185022,agua_alta_terra,692,0,1731,0.558"
"75,187522,agua_alta_terra,691,0,1754,0.557"
"76,190022,agua_alta_terra,691,0,1761,0.557"
"77,192522,agua_alta_terra,686,0,1809,0.553"
"78,195022,agua_alta_terra,657,0,1856,0.529"
"79,197522,agua_alta_terra,603,0,1790,0.486"
"80,200022,agua_alta_terra,607,0,1695,0.489"
"81,202522,agua_alta_terra,611,0,1625,0.492"
"82,205022,agua_alta_terra,603,0,1685,0.486"
"83,207522,agua_alta_terra,622,0,1836,0.501"
"84,210022,agua_alta_terra,684,0,1840,0.551"
"85,212522,agua_alta_terra,687,0,1680,0.554"
"86,215022,agua_alta_terra,604,0,1772,0.487"
"87,217522,agua_alta_terra,691,0,1773,0.557"
"88,220022,agua_alta_terra,604,0,1744,0.487"
"89,222522,agua_alta_terra,690,0,1771,0.556"
"90,225022,agua_alta_terra,615,0,1664,0.496"
"91,227522,agua_alta_terra,676,0,1841,0.545"
"92,230022,agua_alta_terra,668,0,1593,0.538"
"93,232522,agua_alta_terra,623,0,1840,0.502"
"94,235022,agua_alta_terra,688,0,1744,0.554"
"95,237522,agua_alta_terra,627,0,1562,0.505"
"96,240022,agua_alta_terra,624,0,1824,0.503"
"97,242522,agua_alta_terra,690,0,1794,0.556"
"98,245022,agua_alta_terra,666,0,1599,0.537"
"99,247522,agua_alta_terra,608,0,1630,0.490"
"100,250022,agua_alta_terra,613,0,1807,0.494"
"101,252522,agua_alta_terra,630,0,1841,0.508"
"102,255022,agua_alta_terra,604,0,1762,0.487"
"103,257522,agua_alta_terra,639,0,1582,0.515"
"104,260022,agua_alta_terra,671,0,1585,0.541"
"105,262522,agua_alta_terra,692,0,1713,0.558"
"106,265022,agua_alta_terra,692,0,1758,0.558"
"107,267522,agua_alta_terra,692,0,1729,0.558"
"108,270022,agua_alta_terra,675,0,1609,0.544"
"109,272522,agua_alta_terra,623,0,1631,0.502"
"110,275022,agua_alta_terra,647,0,1855,0.521"
"111,277522,agua_alta_terra,691,0,1761,0.557"
"112,280022,agua_alta_terra,638,0,1503,0.514"
"113,282522,agua_alta_terra,613,0,1807,0.494"
"114,285022,agua_alta_terra,686,0,1821,0.553"
"115,287522,agua_alta_terra,669,0,1585,0.539"
"116,290022,agua_alta_terra,618,0,1638,0.498"
"117,292522,agua_alta_terra,604,0,1771,0.487"
"118,295022,agua_alta_terra,632,0,1839,0.509"
"119,297522,agua_alta_terra,638,0,1851,0.514"
"120,300022,agua_alta_terra,648,0,1858,0.522"
"121,302522,agua_alta_terra,662,0,1858,0.533"
"122,305022,agua_alta_terra,674,0,1858,0.543"
"123,307522,agua_alta_terra,695,0,2071,0.560"
"124,310022,agua_alta_terra,668,0,1879,0.538"
