"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_limpa,661,0,2353,0.533"
"2,5022,agua_limpa,597,0,1764,0.481"
"3,7522,agua_limpa,678,0,1827,0.546"
"4,10022,agua_limpa,667,0,1600,0.538"
"5,12522,agua_limpa,600,0,1758,0.484"
"6,15022,agua_limpa,682,0,1809,0.550"
"7,17522,agua_limpa,632,0,1575,0.509"
"8,20022,agua_limpa,677,0,1817,0.546"
"9,22522,agua_limpa,605,0,1683,0.488"
"10,25022,agua_limpa,683,0,1770,0.550"
"11,27522,agua_limpa,603,0,1819,0.486"
"12,30022,agua_limpa,674,0,1669,0.543"
"13,32522,agua_limpa,627,0,1840,0.505"
"14,35022,agua_limpa,672,0,1649,0.542"
"15,37522,agua_limpa,603,0,1803,0.486"
"16,40022,agua_limpa,683,0,1762,0.550"
"17,42522,agua_limpa,616,0,1627,0.496"
"18,45022,agua_limpa,644,0,1842,0.519"
"19,47522,agua_limpa,682,0,1757,0.550"
"20,50022,agua_limpa,656,0,1535,0.529"
"21,52522,agua_limpa,604,0,1689,0.487"
"22,55022,agua_limpa,653,0,1835,0.526"
"23,57522,agua_limpa,679,0,1697,0.547"
"24,60022,agua_limpa,605,0,1617,0.488"
"25,62522,agua_limpa,652,0,1822,0.525"
"26,65022,agua_limpa,657,0,1597,0.529"
"27,67522,agua_limpa,599,0,1799,0.483"
"28,70022,agua_limpa,677,0,1730,0.546"
"29,72522,agua_limpa,601,0,1680,0.484"
"30,75022,agua_limpa,678,0,1762,0.546"
"31,77522,agua_limpa,600,0,1683,0.484"
"32,80022,agua_limpa,679,0,1737,0.547"
"33,82522,agua_limpa,598,0,1801,0.482"
"34,85022,agua_limpa,663,0,1626,0.534"
"35,87522,agua_limpa,667,0,1815,0.538"
"36,90022,agua_limpa,609,0,1820,0.491"
"37,92522,agua_limpa,626,0,1573,0.504"
"38,95022,agua_limpa,683,0,1776,0.550"
"39,97522,agua_limpa,609,0,1685,0.491"
"40,100022,agua_limpa,664,0,1814,0.535"
"41,102522,agua_limpa,681,0,1687,0.549"
"42,105022,agua_limpa,654,0,1519,0.527"
"43,107522,agua_limpa,630,0,1510,0.508"
"44,110022,agua_limpa,624,0,1535,0.503"
"45,112522,agua_limpa,634,0,1435,0.511"
"46,115022,agua_limpa,655,0,1556,0.528"
"47,117522,agua_limpa,672,0,1652,0.542"
"48,120022,agua_limpa,674,0,1687,0.543"
"49,122522,agua_limpa,672,0,1648,0.542"
"50,125022,agua_limpa,630,0,1459,0.508"
"51,127522,agua_limpa,608,0,1800,0.490"
"52,130022,agua_limpa,669,0,1679,0.539"
"53,132522,agua_limpa,622,0,1807,0.501"
"54,135022,agua_limpa,624,0,1535,0.503"
"55,137522,agua_limpa,676,0,1772,0.545"
"56,140022,agua_limpa,596,0,1802,0.480"
"57,142522,agua_limpa,667,0,1627,0.538"
"58,145022,agua_limpa,625,0,1825,0.504"
"59,147522,agua_limpa,664,0,1600,0.535"
"60,150022,agua_limpa,611,0,1811,0.492"
"61,152522,agua_limpa,682,0,1745,0.550"
"62,155022,agua_limpa,624,0,1573,0.503"
"63,157522,agua_limpa,643,0,1815,0.518"
"64,160023,agua_limpa,671,0,1634,0.541"
"65,162523,agua_limpa,594,0,1744,0.479"
"66,165023,agua_limpa,679,0,1783,0.547"
"67,167523,agua_limpa,644,0,1467,0.519"
"68,170023,agua_limpa,609,0,1797,0.491"
"69,172523,agua_limpa,673,0,1785,0.542"
"70,175023,agua_limpa,642,0,1487,0.517"
"71,177523,agua_limpa,615,0,1808,0.496"
"72,180023,agua_limpa,669,0,1680,0.539"
"73,182523,agua_limpa,589,0,1691,0.475"
"74,185023,agua_limpa,674,0,1781,0.543"
"75,187523,agua_limpa,608,0,1578,0.490"
"76,190023,agua_limpa,653,0,1821,0.526"
"77,192523,agua_limpa,657,0,1588,0.529"
"78,195022,agua_limpa,597,0,1775,0.481"
"79,197523,agua_limpa,676,0,1726,0.545"
"80,200023,agua_limpa,594,0,1673,0.479"
"81,202523,agua_limpa,671,0,1795,0.541"
"82,205023,agua_limpa,640,0,1470,0.516"
"83,207523,agua_limpa,607,0,1810,0.489"
"84,210023,agua_limpa,679,0,1767,0.547"
"85,212523,agua_limpa,657,0,1534,0.529"
"86,215023,agua_limpa,624,0,1516,0.503"
"87,217523,agua_limpa,616,0,1582,0.496"
"88,220023,agua_limpa,621,0,1535,0.500"
"89,222523,agua_limpa,624,0,1535,0.503"
"90,225023,agua_limpa,632,0,1505,0.509"
"91,227523,agua_limpa,631,0,1517,0.508"
"92,230023,agua_limpa,626,0,1579,0.504"
"93,232522,agua_limpa,617,0,1649,0.497"
"94,235023,agua_limpa,600,0,1749,0.484"
"95,237523,agua_limpa,624,0,1836,0.503"
"96,240023,agua_limpa,711,0,2032,0.573"
"97,242523,agua_limpa,714,0,2029,0.575"
"98,245023,agua_limpa,705,0,2023,0.568"
"99,247523,agua_limpa,722,0,2062,0.582"
"100,250023,agua_limpa,754,0,2047,0.608"
"101,252523,agua_limpa,769,0,1927,0.620"
"102,255023,agua_limpa,690,0,1839,0.556"
"103,257523,agua_limpa,718,0,2072,0.579"
"104,260023,agua_limpa,654,0,1830,0.527"
"105,262523,agua_limpa,617,0,1818,0.497"
"106,265023,agua_limpa,632,0,1533,0.509"
"107,267523,agua_limpa,681,0,1789,0.549"
"108,270023,agua_limpa,616,0,1683,0.496"
"109,272523,agua_limpa,651,0,1837,0.525"
